locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b0030,rihC,NC_000913.3,,27293,28207,+,ribonucleoside hydrolase RihC,Nucleotide transport and metabolism,P22564,Op18
b0031,dapB,NC_000913.3,,28374,29195,+,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,P04036,Op19
b0032,carA,NC_000913.3,,29651,30799,+,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,P0A6F1,Op20
b0033,carB,NC_000913.3,,30817,34038,+,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,P00968,Op20
b0034,caiF,NC_000913.3,,34300,34695,+,DNA-binding transcriptional activator CaiF,Transcription,P0AE58,Op21
b0035,caiE,NC_000913.3,,34781,35371,-,putative transferase CaiE,Function unknown,P39206,Op22
b0036,caiD,NC_000913.3,,35377,36162,-,crotonobetainyl-CoA hydratase,Lipid transport and metabolism,P31551,Op22
b0037,caiC,NC_000913.3,,36271,37824,-,carnitine--CoA ligase,Lipid transport and metabolism,P31552,Op22
b0038,caiB,NC_000913.3,,37898,39115,-,gamma-butyrobetainyl-CoA:carnitine CoA transferase,Energy production and conversion,P31572,Op22
b0039,caiA,NC_000913.3,,39244,40386,-,crotonobetainyl-CoA reductase,Lipid transport and metabolism,P60584,Op22
b0040,caiT,NC_000913.3,,40417,41931,-,L-carnitine:gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,P31553,Op22
b0041,fixA,NC_000913.3,,42403,43173,+,putative electron transfer flavoprotein FixA,Energy production and conversion,P60566,Op23
b0042,fixB,NC_000913.3,,43188,44129,+,putative electron transfer flavoprotein FixB,Energy production and conversion,P31574,Op23
b0043,fixC,NC_000913.3,,44180,45466,+,putative oxidoreductase FixC,Energy production and conversion,P68644,Op23
b0044,fixX,NC_000913.3,,45463,45750,+,putative ferredoxin FixX,Energy production and conversion,P68646,Op23
b0045,yaaU,NC_000913.3,,45807,47138,+,putative transporter YaaU,Inorganic ion transport and metabolism,P31679,Op24
b0046,kefF,NC_000913.3,,47246,47776,+,regulator of KefC-mediated potassium transport and quinone oxidoreductase,Energy production and conversion,P0A754,Op25
b0047,kefC,NC_000913.3,,47769,49631,+,K(+) : H(+) antiporter KefC,Inorganic ion transport and metabolism,P03819,Op25
b0048,folA,NC_000913.3,,49823,50302,+,dihydrofolate reductase,Coenzyme transport and metabolism,P0ABQ4,Op26
b0049,apaH,NC_000913.3,,50380,51222,-,diadenosine tetraphosphatase,Signal transduction mechanisms,P05637,Op27
b0050,apaG,NC_000913.3,,51229,51606,-,DUF525 domain-containing protein ApaG,Inorganic ion transport and metabolism,P62672,Op27
b0051,rsmA,NC_000913.3,,51609,52430,-,16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase,"Translation, ribosomal structure and biogenesis",P06992,Op27
b0052,pdxA,NC_000913.3,,52427,53416,-,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,P19624,Op27
b0053,surA,NC_000913.3,,53416,54702,-,chaperone SurA,"Post-translational modification, protein turnover, and chaperones",P0ABZ6,Op27
b0054,lptD,NC_000913.3,,54755,57109,-,lipopolysaccharide assembly protein LptD,Cell wall/membrane/envelope biogenesis,P31554,Op27
b0055,djlA,NC_000913.3,,57364,58179,+,co-chaperone protein DjlA,"Post-translational modification, protein turnover, and chaperones",P31680,Op28
b0056,yabP,NC_000913.3,,58474,59124,+,putative uncharacterized protein YabP,Function unknown,UPI000013A00F,Op29
b0057,yabQ,NC_000913.3,,59121,59279,+,protein YabQ,No COG annotation,UPI000013A010,Op29
b0058,rluA,NC_000913.3,,59687,60346,-,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,"Translation, ribosomal structure and biogenesis",P0AA37,Op30
b0059,rapA,NC_000913.3,,60358,63264,-,RNA polymerase-binding ATPase and RNAP recycling factor,Transcription,P60240,Op30
b0060,polB,NC_000913.3,,63429,65780,-,DNA polymerase II,"Replication, recombination and repair",P21189,Op31
b0061,araD,NC_000913.3,,65855,66550,-,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,P08203,Op32
b0062,araA,NC_000913.3,,66835,68337,-,L-arabinose isomerase,Carbohydrate transport and metabolism,P08202,Op32
b0063,araB,NC_000913.3,,68348,70048,-,ribulokinase,Nucleotide transport and metabolism,P08204,Op32
b0064,araC,NC_000913.3,,70387,71265,+,DNA-binding transcriptional dual regulator AraC,Transcription,P0A9E0,Op33
b0065,yabI,NC_000913.3,,71351,72115,+,DedA family protein YabI,Function unknown,P30149,Op34
b0066,thiQ,NC_000913.3,,72229,72927,-,thiamine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P31548,Op35
b0067,thiP,NC_000913.3,,72911,74521,-,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31549,Op35
b0068,thiB,NC_000913.3,,74497,75480,-,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P31550,Op35
b0069,sgrR,NC_000913.3,,75644,77299,-,DNA-binding transcriptional dual regulator SgrR,Transcription,P33595,Op35
b4662,sgrT,NC_000913.3,,77388,77519,+,PtsG glucose transporter inhibitor,Energy production and conversion,C1P5Z7,Op36
b0070,setA,NC_000913.3,,77621,78799,+,sugar exporter SetA,Inorganic ion transport and metabolism,P31675,Op36
b0071,leuD,NC_000913.3,,78848,79453,-,3-isopropylmalate dehydratase subunit LeuD,Amino acid transport and metabolism,P30126,Op37
b0072,leuC,NC_000913.3,,79464,80864,-,3-isopropylmalate dehydratase subunit LeuC,Amino acid transport and metabolism,P0A6A6,Op37
b0073,leuB,NC_000913.3,,80867,81958,-,3-isopropylmalate dehydrogenase,Energy production and conversion,P30125,Op37
b0074,leuA,NC_000913.3,,81958,83529,-,2-isopropylmalate synthase,Amino acid transport and metabolism,P09151,Op37
b0075,leuL,NC_000913.3,,83622,83708,-,leu operon leader peptide,No COG annotation,P0AD79,Op37
b0076,leuO,NC_000913.3,,84368,85312,+,DNA-binding transcriptional dual regulator LeuO,Transcription,P10151,Op38
b4726,yabR,NC_000913.3,,85467,85511,-,protein YabR,No COG annotation,UPI000E466577,Op39
b0077,ilvI,NC_000913.3,,85630,87354,+,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,P00893,Op40
b0078,ilvH,NC_000913.3,,87357,87848,+,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,P00894,Op40
b0080,cra,NC_000913.3,,88028,89032,+,DNA-binding transcriptional dual regulator Cra,Transcription,P0ACP1,Op41
b0081,mraZ,NC_000913.3,,89634,90092,+,DNA-binding transcriptional repressor MraZ,Transcription,P22186,Op42
b0082,rsmH,NC_000913.3,,90094,91035,+,16S rRNA m(4)C1402 methyltransferase,"Translation, ribosomal structure and biogenesis",P60390,Op42
b0083,ftsL,NC_000913.3,,91032,91397,+,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",P0AEN4,Op42
b0084,ftsI,NC_000913.3,,91413,93179,+,peptidoglycan DD-transpeptidase FtsI,Cell wall/membrane/envelope biogenesis,P0AD68,Op42
b0085,murE,NC_000913.3,,93166,94653,+,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,P22188,Op42
b0086,murF,NC_000913.3,,94650,96008,+,D-alanyl-D-alanine-adding enzyme,Cell wall/membrane/envelope biogenesis,P11880,Op42
b0087,mraY,NC_000913.3,,96002,97084,+,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,P0A6W3,Op42
b0088,murD,NC_000913.3,,97087,98403,+,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,P14900,Op42
b0089,ftsW,NC_000913.3,,98403,99647,+,essential cell division protein FtsW,"Cell cycle control, cell division, chromosome partitioning",P0ABG4,Op42
b0090,murG,NC_000913.3,,99644,100711,+,N-acetylglucosaminyl transferase,Cell wall/membrane/envelope biogenesis,P17443,Op42
b0091,murC,NC_000913.3,,100765,102240,+,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,P17952,Op42
b0092,ddlB,NC_000913.3,,102233,103153,+,D-alanine--D-alanine ligase B,Nucleotide transport and metabolism,P07862,Op42
b0093,ftsQ,NC_000913.3,,103155,103985,+,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning",P06136,Op42
b0094,ftsA,NC_000913.3,,103982,105244,+,cell division protein FtsA,"Cell cycle control, cell division, chromosome partitioning",P0ABH0,Op42
b0095,ftsZ,NC_000913.3,,105305,106456,+,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",P0A9A6,Op42
b0096,lpxC,NC_000913.3,,106557,107474,+,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Cell wall/membrane/envelope biogenesis,P0A725,Op42
b0097,secM,NC_000913.3,,107705,108217,+,SecA translation regulator,Function unknown,P62395,Op43
b0098,secA,NC_000913.3,,108279,110984,+,protein translocation ATPase,"Intracellular trafficking, secretion, and vesicular transport",P10408,Op43
b0099,mutT,NC_000913.3,,111044,111433,+,8-oxo-dGTP diphosphatase,"Replication, recombination and repair",P08337,Op43
b0101,yacG,NC_000913.3,,111649,111846,-,DNA gyrase inhibitor YacG,Function unknown,P0A8H8,Op44
b0102,zapD,NC_000913.3,,111856,112599,-,cell division factor ZapD,"Cell cycle control, cell division, chromosome partitioning",P36680,Op44
b0103,coaE,NC_000913.3,,112599,113219,-,dephospho-CoA kinase,Nucleotide transport and metabolism,P0A6I9,Op44
b4727,yacM,NC_000913.3,,113244,113288,+,protein YacM,No COG annotation,UPI000E46656E,Op16
b0104,guaC,NC_000913.3,,113444,114487,+,GMP reductase,Nucleotide transport and metabolism,P60560,Op45
b0106,hofC,NC_000913.3,,114522,115724,-,inner membrane protein HofC,"Intracellular trafficking, secretion, and vesicular transport",P36646,Op46
b0107,hofB,NC_000913.3,,115714,117099,-,T2SSE family protein,Cell motility,P36645,Op46
b0108,ppdD,NC_000913.3,,117109,117549,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,Cell motility,P36647,Op46
b0109,nadC,NC_000913.3,,117752,118645,-,quinolinate phosphoribosyltransferase (decarboxylating),Nucleotide transport and metabolism,P30011,Op47
b0110,ampD,NC_000913.3,,118733,119284,+,1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase,Defense mechanisms,P13016,Op48
b0111,ampE,NC_000913.3,,119281,120135,+,protein AmpE,Defense mechanisms,P0AE14,Op48
b0112,aroP,NC_000913.3,,120178,121551,-,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",P15993,Op49
b0113,pdhR,NC_000913.3,,122092,122856,+,DNA-binding transcriptional dual regulator PdhR,Transcription,P0ACL9,Op50
b0114,aceE,NC_000913.3,,123017,125680,+,pyruvate dehydrogenase E1 component,Nucleotide transport and metabolism,P0AFG8,Op50
b0115,aceF,NC_000913.3,,125695,127587,+,pyruvate dehydrogenase%2C E2 subunit,Nucleotide transport and metabolism,P06959,Op50
b0116,lpd,NC_000913.3,,127912,129336,+,lipoamide dehydrogenase,Nucleotide transport and metabolism,P0A9P0,Op50
b0117,yacH,NC_000913.3,,129407,131260,-,DUF3300 domain-containing protein YacH,Cell wall/membrane/envelope biogenesis,P36682,Op51
b0118,acnB,NC_000913.3,,131615,134212,+,hypothetical protein,Energy production and conversion,P36683,Op52
b0119,yacL,NC_000913.3,,134388,134750,+,UPF0231 family protein YacL,Function unknown,P0A8E5,Op53
b0120,speD,NC_000913.3,,134788,135582,-,S-adenosylmethionine decarboxylase proenzyme,Nucleotide transport and metabolism,P0A7F6,Op54
b0121,speE,NC_000913.3,,135598,136464,-,spermidine synthase,Amino acid transport and metabolism,P09158,Op54
b0122,yacC,NC_000913.3,,136570,136917,-,putative lipoprotein YacC,Function unknown,P0AA95,Op54
b0123,cueO,NC_000913.3,,137083,138633,+,multicopper oxidase CueO,"Secondary metabolites biosynthesis, transport, and catabolism",P36649,Op55
b0124,gcd,NC_000913.3,,138835,141225,-,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,P15877,Op56
b0125,hpt,NC_000913.3,,141431,141967,+,hypoxanthine phosphoribosyltransferase,Nucleotide transport and metabolism,P0A9M2,Op57
b0126,can,NC_000913.3,,142008,142670,-,carbonic anhydrase 2,Inorganic ion transport and metabolism,P61517,Op58
b0127,yadG,NC_000913.3,,142779,143705,+,putative ABC transporter ATP-binding protein YadG,Defense mechanisms,P36879,Op59
b0128,yadH,NC_000913.3,,143702,144472,+,putative ABC transporter membrane subunit YadH,Defense mechanisms,P0AFN6,Op59
b0129,yadI,NC_000913.3,,144577,145017,+,putative PTS enzyme IIA component YadI,Carbohydrate transport and metabolism,P36881,Op60
b0130,yadE,NC_000913.3,,145081,146310,+,putative polysaccharide deacetylase lipoprotein YadE,Carbohydrate transport and metabolism,P31666,Op61
b0131,panD,NC_000913.3,,146314,146694,-,aspartate 1-decarboxylase proenzyme,Coenzyme transport and metabolism,P0A790,Op62
b0132,rpnC,NC_000913.3,,146968,147870,+,recombination-promoting nuclease RpnC,"Replication, recombination and repair",P31665,Op63
b0133,panC,NC_000913.3,,147944,148795,-,pantothenate synthetase,Coenzyme transport and metabolism,P31663,Op64
b0134,panB,NC_000913.3,,148807,149601,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,P31057,Op64
b0135,yadC,NC_000913.3,,149715,150953,-,fimbrial tip-adhesin YadC,Cell motility,P31058,Op65
b0136,yadK,NC_000913.3,,151003,151599,-,putative fimbrial protein YadK,Cell motility,P37016,Op65
b0137,yadL,NC_000913.3,,151626,152231,-,putative fimbrial protein YadL,Cell motility,P37017,Op65
b0138,yadM,NC_000913.3,,152243,152812,-,putative fimbrial protein YadM,Cell motility,P37018,Op65
b0139,htrE,NC_000913.3,,152829,155426,-,putative fimbrial usher protein HtrE,Cell wall/membrane/envelope biogenesis,P33129,Op66
b0140,yadV,NC_000913.3,,155461,156201,-,putative fimbrial chaperone YadV,Cell wall/membrane/envelope biogenesis,P33128,Op66
b0141,yadN,NC_000913.3,,156299,156883,-,putative fimbrial protein YadN,Cell motility,P37050,Op67
b0142,folK,NC_000913.3,,157253,157732,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,P26281,Op68
b0143,pcnB,NC_000913.3,,157729,159126,-,poly(A) polymerase I,Nucleotide transport and metabolism,P0ABF1,Op68
b0144,gluQ,NC_000913.3,,159186,160112,-,glutamyl-Q tRNA(Asp) synthetase,"Translation, ribosomal structure and biogenesis",P27305,Op69
b0145,dksA,NC_000913.3,,160149,160604,-,RNA polymerase-binding transcription factor DksA,Signal transduction mechanisms,P0ABS1,Op69
b0146,sfsA,NC_000913.3,,160782,161486,-,putative DNA-binding transcriptional regulator of maltose metabolism,Transcription,P0A823,Op69
b0147,thpR,NC_000913.3,,161501,162031,-,RNA 2'%2C3'-cyclic phosphodiesterase,"Translation, ribosomal structure and biogenesis",P37025,Op70
b0148,hrpB,NC_000913.3,,162105,164534,+,RNA-dependent NTPase HrpB,"Replication, recombination and repair",P37024,Op71
b0149,mrcB,NC_000913.3,,164730,167264,+,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,Cell wall/membrane/envelope biogenesis,P02919,Op72
b0150,fhuA,NC_000913.3,,167484,169727,+,ferrichrome outer membrane transporter/phage receptor,Inorganic ion transport and metabolism,P06971,Op73
b0151,fhuC,NC_000913.3,,169778,170575,+,iron(III) hydroxamate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P07821,Op73
b0152,fhuD,NC_000913.3,,170575,171465,+,iron(III) hydroxamate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P07822,Op73
b0153,fhuB,NC_000913.3,,171462,173444,+,iron(III) hydroxamate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P06972,Op73
b0154,hemL,NC_000913.3,,173602,174882,-,glutamate-1-semialdehyde 2%2C1-aminomutase,Coenzyme transport and metabolism,P23893,Op74
b4765,yadX,NC_000913.3,,175048,175095,+,protein YadX,No COG annotation,UPI00107E63B4,Op16
b0155,clcA,NC_000913.3,,175107,176528,+,chloride:H(+) antiporter ClcA,Inorganic ion transport and metabolism,P37019,Op75
b4728,yadW,NC_000913.3,,176552,176617,+,protein YadW,No COG annotation,UPI00045B4E45,Op16
b0156,erpA,NC_000913.3,,176610,176954,+,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,P0ACC3,Op76
b0157,yadS,NC_000913.3,,177001,177624,-,PF03458 family protein YadS,Function unknown,P0AFP0,Op77
b0158,btuF,NC_000913.3,,177662,178462,-,vitamin B12 ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P37028,Op77
b0159,mtn,NC_000913.3,,178455,179153,-,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Nucleotide transport and metabolism,P0AF12,Op77
b0160,dgt,NC_000913.3,,179237,180754,+,dGTP triphosphohydrolase,Nucleotide transport and metabolism,P15723,Op78
b0161,degP,NC_000913.3,,180884,182308,+,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover, and chaperones",P0C0V0,Op79
b0162,cdaR,NC_000913.3,,182463,183620,+,DNA-binding transcriptional activator CdaR,Transcription,P37047,Op80
b0163,yaeH,NC_000913.3,,183709,184095,-,DUF3461 domain-containing protein YaeH,Function unknown,P62768,Op81
b0164,yaeI,NC_000913.3,,184257,185069,-,phosphodiesterase YaeI,Function unknown,P37049,Op82
b0166,dapD,NC_000913.3,,185123,185947,-,tetrahydrodipicolinate succinylase,Amino acid transport and metabolism,P0A9D8,Op83
b0167,glnD,NC_000913.3,,185978,188650,-,PII uridylyltransferase/uridylyl removing enzyme,"Post-translational modification, protein turnover, and chaperones",P27249,Op83
b0168,map,NC_000913.3,,188712,189506,-,methionine aminopeptidase,Amino acid transport and metabolism,P0AE18,Op83
b0169,rpsB,NC_000913.3,,189874,190599,+,30S ribosomal subunit protein S2,"Translation, ribosomal structure and biogenesis",P0A7V0,Op84
b0170,tsf,NC_000913.3,,190857,191708,+,protein chain elongation factor EF-Ts,"Translation, ribosomal structure and biogenesis",P0A6P1,Op84
b0171,pyrH,NC_000913.3,,191855,192580,+,UMP kinase,Nucleotide transport and metabolism,P0A7E9,Op85
b0172,frr,NC_000913.3,,192872,193429,+,ribosome-recycling factor,"Translation, ribosomal structure and biogenesis",P0A805,Op86
b0173,dxr,NC_000913.3,,193521,194717,+,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,P45568,Op87
b0174,uppS,NC_000913.3,,194903,195664,+,ditrans%2Cpolycis-undecaprenyl-diphosphate synthase [(2E%2C6E)-farnesyl-diphosphate specific],Lipid transport and metabolism,P60472,Op87
b0175,cdsA,NC_000913.3,,195677,196534,+,CDP-diglyceride synthetase,Lipid transport and metabolism,P0ABG1,Op87
b0176,rseP,NC_000913.3,,196546,197898,+,intramembrane zinc metalloprotease RseP,Cell wall/membrane/envelope biogenesis,P0AEH1,Op88
b0177,bamA,NC_000913.3,,197928,200360,+,outer membrane protein assembly factor BamA,Cell wall/membrane/envelope biogenesis,P0A940,Op89
b0178,skp,NC_000913.3,,200482,200967,+,periplasmic chaperone Skp,Cell wall/membrane/envelope biogenesis,P0AEU7,Op89
b0179,lpxD,NC_000913.3,,200971,201996,+,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Cell wall/membrane/envelope biogenesis,P21645,Op89
b0180,fabZ,NC_000913.3,,202101,202556,+,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,Lipid transport and metabolism,P0A6Q6,Op89
b0181,lpxA,NC_000913.3,,202560,203348,+,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,Cell wall/membrane/envelope biogenesis,P0A722,Op89
b0182,lpxB,NC_000913.3,,203348,204496,+,lipid A disaccharide synthase,Cell wall/membrane/envelope biogenesis,P10441,Op89
b0183,rnhB,NC_000913.3,,204493,205089,+,RNase HII,"Replication, recombination and repair",P10442,Op89
b0184,dnaE,NC_000913.3,,205126,208608,+,DNA polymerase III subunit alpha,"Replication, recombination and repair",P10443,Op89
b0185,accA,NC_000913.3,,208621,209580,+,acetyl-CoA carboxyltransferase subunit alpha,Lipid transport and metabolism,P0ABD5,Op90
b0186,ldcC,NC_000913.3,,209679,211820,+,lysine decarboxylase 2,Amino acid transport and metabolism,P52095,Op91
b0187,yaeR,NC_000913.3,,211877,212266,+,VOC domain-containing protein YaeR,Amino acid transport and metabolism,P52096,Op92
b0188,tilS,NC_000913.3,,212331,213629,+,tRNA(Ile)-lysidine synthetase,"Translation, ribosomal structure and biogenesis",P52097,Op93
b0189,rof,NC_000913.3,,213678,213932,-,modulator of Rho-dependent transcription termination,Transcription,P0AFW8,Op94
b4406,yaeP,NC_000913.3,,213925,214125,-,UPF0253 family protein YaeP,Function unknown,P0A8K5,Op94
b0190,yaeQ,NC_000913.3,,214291,214836,+,uncharacterized protein YaeQ,Function unknown,P0AA97,Op95
b0191,arfB,NC_000913.3,,214833,215255,+,peptidyl-tRNA hydrolase%2C ribosome rescue factor,"Translation, ribosomal structure and biogenesis",P40711,Op95
b0192,nlpE,NC_000913.3,,215269,215979,+,sensor lipoprotein NlpE,Cell wall/membrane/envelope biogenesis,P40710,Op95
b0193,yaeF,NC_000913.3,,216179,217003,-,peptidase C92 family protein YaeF,Cell wall/membrane/envelope biogenesis,P37056,Op96
b0194,proS,NC_000913.3,,217057,218775,-,proline--tRNA ligase,"Translation, ribosomal structure and biogenesis",P16659,Op97
b0195,trmO,NC_000913.3,,218887,219594,-,tRNA m(6)t(6)A37 methyltransferase,Function unknown,P28634,Op98
b0196,rcsF,NC_000913.3,,219591,219995,-,sensor lipoprotein RcsF,Cell wall/membrane/envelope biogenesis,P69411,Op98
b0197,metQ,NC_000913.3,,220113,220928,-,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,P28635,Op99
b0198,metI,NC_000913.3,,220968,221621,-,L-methionine/D-methionine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31547,Op99
b0199,metN,NC_000913.3,,221614,222645,-,L-methionine/D-methionine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P30750,Op99
b0200,gmhB,NC_000913.3,,222833,223408,+,D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,Nucleotide transport and metabolism,P63228,Op100
b0207,dkgB,NC_000913.3,,229167,229970,+,methylglyoxal reductase DkgB,Function unknown,P30863,Op101
b0208,yafC,NC_000913.3,,229967,230881,-,LysR family transcriptional regulator YafC,Transcription,P30864,Op102
b0209,yafD,NC_000913.3,,231122,231922,+,endonuclease/exonuclease/phosphatase domain-containing protein YafD,Function unknown,P0A8U2,Op103
b0210,yafE,NC_000913.3,,231926,232549,+,putative S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P30866,Op103
b0211,mltD,NC_000913.3,,232597,233955,-,membrane-bound lytic murein transglycosylase D,Cell wall/membrane/envelope biogenesis,P0AEZ7,Op104
b0212,gloB,NC_000913.3,,234027,234782,-,hydroxyacylglutathione hydrolase GloB,Function unknown,P0AC84,Op105
b0213,yafS,NC_000913.3,,234816,235538,+,putative S-adenosyl-L-methionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P75672,Op106
b0214,rnhA,NC_000913.3,,235535,236002,-,ribonuclease HI,"Replication, recombination and repair",P0A7Y4,Op107
b0215,dnaQ,NC_000913.3,,236067,236798,+,DNA polymerase III subunit epsilon,"Replication, recombination and repair",P03007,Op108
b0217,yafT,NC_000913.3,,237335,238120,+,lipoprotein YafT,No COG annotation,P77339,Op109
b4586,ykfM,NC_000913.3,,238257,238736,-,uncharacterized protein YkfM,No COG annotation,A5A605,Op16
